,id,full_text,tokens,date,sentiment
1592663,1249436265361088522,"@tonyevansace Watch this if you question the severity of covid-19 lockdown

then this

Then this
 (watch this fast it will be removed soon)
Then see how you feel about it
#totalitariantiptoe #HungerGamessociety #PRS","['watch', 'question', 'severity', 'covid19', 'lockdown', 'watch', 'fast', 'removed', 'soon', 'see', 'feel', 'totalitariantiptoe', 'hungergamessociety', 'prs']",2020-04-12,0.2
1182245,1241078615393042434,Coronavirus quarantine got us like,"['coronavirus', 'quarantine', 'got', 'us', 'like']",2020-03-20,0.0
967256,1233079483797770240,#Coronavirus: 130 out of 700 guests who have been on lockdown at a hotel in Tenerife are now allowed to leave,"['coronavirus', '130', '700', 'guests', 'lockdown', 'hotel', 'tenerife', 'allowed', 'leave']",2020-02-27,0.0
687486,1259797114575560704,"@deirbhilesdaddy ""Dear Sirs
Further to government advice I am unable to carry out my  duty as a juror as I have symptoms of Covid-19 and; have to self isolate for14 days.
Sincere apology's for the short notice and inconvenience, but I am sure you will understand given the circumstances.
Yours....""","['dear', 'sirs', 'government', 'advice', 'unable', 'carry', 'duty', 'juror', 'symptoms', 'covid19', 'self', 'isolate', 'for14', 'days', 'sincere', 'apologys', 'short', 'notice', 'inconvenience', 'sure', 'understand', 'given', 'circumstances']",2020-05-11,0.1
741584,1261655100801445890,Imagine if we would have had a real lock-down - we would have been done with it a month ago - and it would have been easier to isolate outbreaks #COVID19,"['imagine', 'would', 'real', 'lockdown', 'would', 'done', 'month', 'ago', 'would', 'easier', 'isolate', 'outbreaks', 'covid19']",2020-05-16,0.2
1586413,1249332859569143808,I say this Lockdown and Covid-19 almost made me forget Easter. Happy Easter 🐣 ❤️,"['say', 'lockdown', 'covid19', 'almost', 'made', 'forget', 'easter', 'happy', 'easter']",2020-04-12,0.8
434379,1255595501514301440,The Anti-Mask League: lockdown protests draw parallels to 1918 pandemic,"['antimask', 'league', 'lockdown', 'protests', 'draw', 'parallels', '1918', 'pandemic']",2020-04-29,0.0
37889,1250113377105580032,"In the backdrop of the coronavirus lockdown in India, several social media users have shared a photograph of Muslims offering namaz in groups on the rooftop of several buildings. The photograph is from Dubai. #AltNewsFactCheck | @thisisjignesh @zoo_bear","['backdrop', 'coronavirus', 'lockdown', 'india', 'several', 'social', 'media', 'users', 'shared', 'photograph', 'muslims', 'offering', 'namaz', 'groups', 'rooftop', 'several', 'buildings', 'photograph', 'dubai', 'altnewsfactcheck']",2020-04-14,0.011111111111111
762886,1261240594883661825,"What are the different lockdown rules in England, Scotland, Wales and NI?

Latest from the @instituteforgov devolution team (@Jess_Sargeant @AlexNicest)","['different', 'lockdown', 'rules', 'england', 'scotland', 'wales', 'ni', 'latest', 'devolution', 'team']",2020-05-15,0.25
878669,1223143178032668672,South Korean evacuees from Wuhan welcomed to quarantine centers,"['south', 'korean', 'evacuees', 'wuhan', 'welcomed', 'quarantine', 'centers']",2020-01-31,0.0
