,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
43,Mar 08 2020,616.0,328.4,1704.6,0.36137510266338146,0.19265516836794555,0.06457308300914233,110136.8,4171.2,1.1199054932073242,3815.0,183.6,112.70258505298382,10
44,Mar 09 2020,541.0,318.0,1517.8,0.35643694821452104,0.20951376993016207,0.04701400927523041,115052.0,4915.2,1.1783659378596087,4045.2,230.2,110.61214166201897,11
45,Mar 10 2020,521.4,312.8,1432.8,0.3639028475711893,0.2183137911781128,0.05851673851690146,120309.6,5257.6,1.0696614583333335,4316.6,271.4,111.50944506413832,11
46,Mar 11 2020,490.4,299.0,1303.2,0.37630448127685695,0.2294352363413137,0.04578637267456578,127658.4,7348.8,1.397748021911138,4638.6,322.0,111.85728667038482,13
47,Mar 12 2020,485.8,285.6,1266.8,0.38348594884748977,0.2254499526365646,0.018799587601889066,136445.4,8787.0,1.1957054212932723,5007.2,368.6,110.86670942554379,17
48,Mar 13 2020,510.6,290.0,1289.2,0.3960595718274899,0.2249457027614024,0.0727769339858267,146456.8,10011.4,1.1393422100830772,5448.2,441.0,123.49724762967094,17
49,Mar 14 2020,527.4,284.2,1268.2,0.41586500551963407,0.22409714556063712,0.054733465649135886,157867.4,11410.6,1.1397606728329706,5956.2,508.0,114.09296430563302,17
50,Mar 15 2020,591.6,301.8,1391.0,0.42530553558590944,0.21696621135873473,0.07704736182536201,171296.8,13429.4,1.1769232117504775,6564.0,607.8,89.58913273842722,18
51,Mar 16 2020,611.8,307.0,1420.0,0.43084507042253517,0.21619718309859154,0.06872437800702698,185763.4,14466.6,1.0772335323990647,7251.8,687.8,89.29708031232572,19
52,Mar 17 2020,635.2,314.0,1438.4,0.44160177975528364,0.21829810901001112,0.0703047437503307,203595.4,17832.0,1.2326324084442786,8077.4,825.6,83.8888455103179,20
53,Mar 18 2020,660.4,325.4,1510.0,0.43735099337748345,0.21549668874172184,0.06561859611791641,225120.0,21524.6,1.207077164647824,9070.4,993.0,80.92291411042946,22
54,Mar 19 2020,731.6,362.8,1666.0,0.4391356542617047,0.2177671068427371,0.08747406779706449,250168.4,25048.4,1.163710359309813,10268.6,1198.2,79.68381483547127,23
55,Mar 20 2020,763.6,393.4,1769.4,0.4315587204702159,0.2223352548886628,0.0841213570206392,278730.6,28562.2,1.1402804171124703,11645.6,1377.0,85.23913273842723,28
56,Mar 21 2020,816.4,424.0,1918.6,0.4255186073178359,0.22099447513812157,0.07332335845239288,311807.2,33076.6,1.1580550517817254,13226.6,1581.0,74.58430842163972,37
