,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
86,Apr 22 2020,3655,1239,5408,0.6758505917159763,0.22910502958579881,0.0805085367236703,2630185,76806,1.0206777408637875,187893,6755,72.86317902955939,54
87,Apr 23 2020,3972,1070,5528,0.7185238784370478,0.1935600578871201,0.08945310814208288,2719198,89013,1.1589328958675102,194743,6850,73.53569157836029,46
88,Apr 24 2020,3130,896,4375,0.7154285714285714,0.2048,0.085668593589132,2806138,86940,0.9767112668935998,201417,6674,83.04782208588956,40
89,Apr 25 2020,3108,847,4431,0.7014218009478673,0.1911532385466035,0.08439988705811576,2890259,84121,0.9675753393144697,206995,5578,78.36470161740101,35
90,Apr 26 2020,3465,1226,5156,0.6720325833979829,0.23778122575640032,0.07036915262138468,2963206,72947,0.867167532482971,210878,3883,66.6395398773006,37
91,Apr 27 2020,3976,1159,5631,0.706091280412005,0.20582489788669864,0.07918738478148862,3031910,68704,0.9418344825695368,215527,4649,75.72440881204685,40
92,Apr 28 2020,3791,1059,5370,0.7059590316573556,0.1972067039106145,0.07825502767343923,3107209,75299,1.095991499767117,221990,6463,77.12466815393194,40
93,Apr 29 2020,4181,1312,6000,0.6968333333333333,0.21866666666666668,0.06947834846713569,3184255,77046,1.0232008393205754,228758,6768,78.18877579475739,38
94,Apr 30 2020,3927,1194,5683,0.6910082702797818,0.21010029913777933,0.0694964160180534,3267936,83681,1.0861173844196974,234720,5962,83.45174288901283,40
95,May 01 2020,3142,887,4442,0.7073390364700586,0.19968482665466006,0.08467669202241301,3354984,87048,1.040236134845425,239897,5177,94.91405744562186,39
96,May 02 2020,2473,794,3643,0.6788361240735657,0.2179522371671699,0.07637639938160216,3435571,80587,0.9257765830346476,245222,5325,92.44659230340211,34
97,May 03 2020,3419,1204,5075,0.6736945812807882,0.23724137931034484,0.06983801150325938,3513207,77636,0.9633811905145991,248675,3453,78.66387618516454,34
98,May 04 2020,4551,1542,6695,0.6797610156833458,0.23032113517550412,0.067995625469765,3589284,76077,0.9799191096913803,252803,4128,85.16363636363636,39
99,May 05 2020,3874,1338,5796,0.668391994478951,0.2308488612836439,0.07120467413277082,3669273,79989,1.0514215860246856,258674,5871,85.63278304517567,38
100,May 06 2020,2734,921,4075,0.670920245398773,0.2260122699386503,0.06757485590542278,3759295,90022,1.1254297465901562,265343,6669,88.91844116006692,38
101,May 07 2020,2028,597,2908,0.6973865199449794,0.20529573590096287,0.08712518745320443,3848381,89086,0.989602541600942,270752,5409,93.82040156162856,36
102,May 08 2020,2302,663,3247,0.7089621188789652,0.20418848167539266,0.09025416079440905,3939898,91517,1.0272882383314998,276320,5568,103.1731372002231,36
103,May 09 2020,2191,858,3326,0.658749248346362,0.2579675285628382,0.06131734123996029,4023533,83635,0.913873925063103,280585,4265,101.69872002230898,34
104,May 10 2020,3087,1056,4479,0.6892163429336906,0.23576691225720026,0.07164831507158848,4099779,76246,0.9116518204101154,284151,3566,80.27827105409928,33
105,May 11 2020,3834,1235,5530,0.6933092224231465,0.22332730560578662,0.0707070729903065,4176020,76241,0.9999344227893923,287624,3473,,37
106,May 12 2020,3342,969,4726,0.7071519255184088,0.20503597122302158,0.07903280772082444,4259619,83599,1.0965097519707243,293171,5547,,36
107,May 13 2020,3298,1260,4947,0.6666666666666666,0.2546998180715585,0.06663768613165562,4344371,84752,1.0137920310051556,298399,5228,98.00250697155604,37
108,May 14 2020,3338,1073,4851,0.6881055452484024,0.22119150690579262,0.07971483532850014,4441476,97105,1.1457546724561072,303667,5268,103.18351366424986,34
109,May 15 2020,3701,1146,5280,0.7009469696969697,0.21704545454545454,0.08405038302574419,4537825,96349,0.9922146130477318,308882,5215,117.93519241494701,35
110,May 16 2020,3352,1105,4927,0.6803328597523848,0.22427440633245382,0.08264490136816288,4629638,91813,0.9529211512314606,313053,4171,114.98875627440046,33
111,May 17 2020,11081,2811,14441,0.767329132331556,0.19465410982618933,0.07194419892392007,4708147,78509,0.8550967727881672,316382,3329,96.44832682654767,31
