,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
57,Mar 24 2020,4740.4,1395.0,6917.0,0.685326008385138,0.20167702761312709,0.08816880169333328,433589.2,46098.8,1.1535543410806157,19447.8,2333.8,63.48145008365868,73
58,Mar 25 2020,4702.0,1335.0,6774.6,0.6940631181176748,0.19705960499512884,0.09706715429712338,485885.4,52296.2,1.1344373389329006,22145.6,2697.8,64.11482989403235,68
59,Mar 26 2020,4417.0,1242.6,6325.2,0.6983178397521027,0.19645228609372034,0.09060751767821089,543270.2,57384.8,1.097303436961003,25195.8,3050.2,65.25846346904629,69
60,Mar 27 2020,4197.2,1179.4,6019.6,0.6972556316034287,0.19592663964383017,0.09127794998623263,604342.6,61072.4,1.06426091926782,28486.6,3290.8,69.96724205242612,67
61,Mar 28 2020,4135.8,1184.2,5969.8,0.6927870280411405,0.198365104358605,0.09951121010950442,668179.4,63836.8,1.0452643092460752,32054.8,3568.2,61.78718906860011,68
62,Mar 29 2020,4076.4,1170.2,5899.4,0.6909855239515884,0.19835915516832223,0.08945586554773335,734707.4,66528.0,1.0421575016291542,35990.4,3935.6,53.197847183491355,81
63,Mar 30 2020,3987.4,1141.6,5785.0,0.6892653414001729,0.19733794295592047,0.09301255630030072,803599.6,68892.2,1.0355369167869168,40333.2,4342.8,60.49800892359175,100
64,Mar 31 2020,3957.2,1093.6,5706.2,0.6934912901755984,0.19165118642879675,0.09503538075826964,875250.4,71650.8,1.040042268936106,45201.2,4868.0,60.377838817624095,74
65,Apr 01 2020,4009.6,1097.6,5756.2,0.6965706542510685,0.1906813522810187,0.09806393555879993,951616.6,76366.2,1.0658108492857021,50571.6,5370.4,61.89360290016732,72
66,Apr 02 2020,3800.4,1059.0,5469.6,0.6948222904782799,0.19361562088635365,0.11198949399664912,1031130.2,79513.6,1.0412145687490015,56277.4,5705.8,62.44883993307307,63
67,Apr 03 2020,3718.8,1051.0,5368.4,0.6927203636092691,0.19577527755010804,0.11210820891588744,1109704.2,78574.0,0.9881831535737282,62018.6,5741.2,66.2353123257111,63
68,Apr 04 2020,3711.4,1025.6,5328.0,0.6965840840840841,0.19249249249249248,0.11550834539492849,1187568.4,77864.2,0.9909664774607376,67815.4,5796.8,58.86787785833798,59
69,Apr 05 2020,3777.8,1057.6,5438.6,0.6946272937888427,0.19446181002463866,0.10113202937623485,1264527.0,76958.6,0.9883694945815922,73931.6,6116.2,51.23443390964863,57
70,Apr 06 2020,3839.8,1064.4,5507.2,0.6972327135386404,0.19327425915165602,0.11856972480334622,1341609.8,77082.8,1.0016138547218894,80197.8,6266.2,61.0577300613497,59
