,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
47,Mar 12 2020,1947,1034,4693,0.41487321542723204,0.22032814830598765,0.05380169629705333,132297,5750,0.7503588672843534,4916,305,110.86670942554379,40
48,Mar 13 2020,3563,1760,8119,0.4388471486636285,0.21677546495873876,0.06986158245440002,146704,14407,2.5055652173913043,5413,497,123.49724762967094,51
49,Mar 14 2020,3659,1885,8856,0.4131662149954833,0.21285004516711833,0.07010084121198576,157795,11091,0.7698341084195183,5830,417,114.09296430563302,47
50,Mar 15 2020,4436,2473,10658,0.41621317320322765,0.23203227622443234,0.06382116873930149,168941,11146,1.0049589757461004,6471,641,89.58913273842722,56
51,Mar 16 2020,5459,2758,12536,0.4354658583280153,0.22000638162093172,0.06996218597297751,183600,14659,1.3151803337520187,7151,680,89.29708031232572,100
52,Mar 17 2020,5074,2629,12011,0.42244609108317377,0.21888269086670553,0.06363217582918163,199444,15844,1.0808377106214613,7955,804,83.8888455103179,81
53,Mar 18 2020,5329,2775,12364,0.43100938207699774,0.224441928178583,0.06538990140473572,219037,19593,1.2366195405200706,8852,897,80.92291411042946,74
54,Mar 19 2020,5120,2754,12022,0.42588587589419397,0.22908001996340044,0.06539139222989232,246955,27918,1.4248966467615984,9958,1106,79.68381483547127,80
55,Mar 20 2020,5931,2956,13670,0.43386978785662034,0.21623994147768838,0.06790998782206861,276564,29609,1.0605702414213052,11436,1478,85.23913273842723,92
56,Mar 21 2020,7658,3895,17816,0.42983834755276157,0.21862370902559497,0.07375700902140919,308842,32278,1.0901415110270525,13142,1706,74.58430842163972,93
57,Mar 22 2020,10227,4547,22243,0.45978510093062985,0.20442386368745225,0.0840694054005411,342255,33413,1.0351632690996964,14840,1698,59.05492749581707,87
58,Mar 23 2020,10135,4601,22394,0.4525765830133071,0.2054568187907475,0.07350186216288003,384420,42165,1.2619339777930745,16757,1917,64.24523982152816,76
59,Mar 24 2020,10727,4463,23976,0.4474057390724057,0.1861444778111445,0.07822855619423381,425559,41139,0.975667022411953,19027,2270,63.48145008365868,71
